R,regime,strategy,B,B_over_R,dv_hohmann_bar,dv_bielliptic_bar,saving_bar,dv_saving_m_s,t_hohmann_days,t_bielliptic_days,time_ratio,extra_time_days,rb_km,rb_altitude_km,rb_over_lunar_distance,model_validity_flag
5.0,hohmann_only,B/R=50,250.0,50.0,0.4800091544886025,0.5972831993816099,-0.11727404489300741,-906.0311997741644,0.1633172439847156,89.43883253032493,547.6386347708346,89.27551528634022,1669534.075,1663155.9387,4.343220798647242,two_body_invalid
5.0,hohmann_only,B/R=100,500.0,100.0,0.4800091544886025,0.5983722114513745,-0.11836305696277205,-914.4446463559514,0.1633172439847156,250.72042478954992,1535.1742331202588,250.5571075455652,3339068.15,3332690.0137,8.686441597294484,two_body_invalid
10.0,hohmann_only,B/R=1.25,12.5,1.25,0.5297875184506737,0.5357336580723421,-0.005946139621668345,-45.93845143108981,0.405409755138401,1.737180009888347,4.284998049184334,1.3317702547499457,83476.70375,77098.56745,0.21716103993236213,lunar_third_body_caution
10.0,hohmann_only,B/R=1.5,15.0,1.5,0.5297875184506737,0.5391418040181755,-0.00935428556750173,-72.2689712245023,0.405409755138401,2.1002305482909374,5.180513102290667,1.6948207931525363,100172.0445,93793.9082,0.26059324791883454,lunar_third_body_caution
10.0,hohmann_only,B/R=2,20.0,2.0,0.5297875184506737,0.5426193542388011,-0.01283183578812741,-99.13569183214344,0.405409755138401,2.8953273488389164,7.141730834401095,2.489917593700515,133562.726,127184.5897,0.3474576638917794,lunar_third_body_caution
10.0,hohmann_only,B/R=3,30.0,3.0,0.5297875184506737,0.5450128111819723,-0.015225292731298579,-117.6269672700087,0.405409755138401,4.72921811820438,11.665279530804318,4.32380836306598,200344.089,193965.9527,0.5211864958376691,lunar_third_body_caution
10.0,hohmann_only,B/R=5,50.0,5.0,0.5297875184506737,0.5459446648872474,-0.01615714643657362,-124.82624594564932,0.405409755138401,9.211798443144103,22.722192365596456,8.806388688005702,333906.815,327528.6787,0.8686441597294485,lunar_third_body_caution
10.0,hohmann_only,B/R=10,100.0,10.0,0.5297875184506737,0.5459369485314829,-0.016149430080809157,-124.76663122802327,0.405409755138401,24.09961404685455,59.44507684238455,23.69420429171615,667813.63,661435.4937,1.737288319458897,two_body_invalid
10.0,hohmann_only,B/R=20,200.0,20.0,0.5297875184506737,0.5456675790373566,-0.015880060586682898,-122.6855469934986,0.405409755138401,65.48336539925276,161.52390160640732,65.07795564411437,1335627.26,1329249.1237,3.474576638917794,two_body_invalid
10.0,hohmann_only,B/R=50,500.0,50.0,0.5297875184506737,0.5454116892771149,-0.015624170826441186,-120.7086039564162,0.405409755138401,252.5979423795116,623.0682394242791,252.1925326243732,3339068.15,3332690.0137,8.686441597294484,two_body_invalid
10.0,hohmann_only,B/R=100,1000.0,100.0,0.5297875184506737,0.5453098135630053,-0.015522295112331608,-119.92153657448388,0.405409755138401,708.6169508897439,1747.9030583460735,708.2115411346055,6678136.3,6671758.163699999,17.37288319458897,two_body_invalid
11.5,hohmann_only,B/R=1.25,14.375,1.25,0.5333963440109302,0.536941742819136,-0.003545398808205813,-27.390902554842626,0.49110028530147565,2.1325280304511267,4.342347366265558,1.641427745149651,95998.2093125,89620.0730125,0.24973519592221644,lunar_third_body_caution
11.5,hohmann_only,B/R=1.5,17.25,1.5,0.5333963440109302,0.5387145216849991,-0.005318177674068947,-41.086967734803245,0.49110028530147565,2.5793802046721632,5.2522474164085216,2.0882799193706876,115197.851175,108819.714875,0.29968223510665976,lunar_third_body_caution
11.5,hohmann_only,B/R=2,23.0,2.0,0.5333963440109302,0.5401143900889162,-0.006718046077985984,-51.9020159467416,0.49110028530147565,3.5583586645097793,7.245686412756574,3.0672583792083032,153597.1349,147218.9986,0.39957631347554634,lunar_third_body_caution
11.5,hohmann_only,B/R=3,34.5,3.0,0.5333963440109302,0.5404020537770501,-0.007005709766119916,-54.12443674521606,0.49110028530147565,5.8173368143297735,11.845517073480497,5.326236529028297,230395.70235,224017.56605,0.5993644702133195,lunar_third_body_caution
11.5,hohmann_only,B/R=5,57.5,5.0,0.5333963440109302,0.539638547323308,-0.006242203312377792,-48.22576863881274,0.49110028530147565,11.341200609892695,23.09345147891857,10.85010032459122,383992.83725,377614.70094999997,0.9989407836888657,lunar_third_body_caution
11.5,hohmann_only,B/R=10,115.0,10.0,0.5333963440109302,0.5383598444965125,-0.004963500485582362,-38.34681667315781,0.49110028530147565,29.693612918869174,60.46344057943464,29.202512633567697,767985.6745,761607.5382,1.9978815673777315,two_body_invalid
11.5,hohmann_only,B/R=20,230.0,20.0,0.5333963440109302,0.5374572174876113,-0.004060873476681159,-31.37333645791127,0.49110028530147565,80.71854191740054,164.36264513234644,80.22744163209907,1535971.349,1529593.2127,3.995763134755463,two_body_invalid
11.5,hohmann_only,B/R=50,575.0,50.0,0.5333963440109302,0.5368226058032087,-0.003426261792278562,-26.470478486784263,0.49110028530147565,311.4532719790136,634.194850422087,310.96217169371215,3839928.3725,3833550.2362,9.989407836888658,two_body_invalid
11.5,hohmann_only,B/R=100,1150.0,100.0,0.5333963440109302,0.5365947440157369,-0.0031984000048067562,-24.710072858462016,0.49110028530147565,873.8082460873674,1779.2867816213052,873.317145802066,7679856.745,7673478.6087,19.978815673777316,two_body_invalid
11.9,hohmann_only,B/R=1.25,14.875,1.25,0.5340367096558453,0.5370504820090457,-0.003013772353200439,-23.283683815183334,0.5148606876118222,2.242441040942855,4.355432634300361,1.7275803533310325,99337.2774625,92959.1411625,0.2584216375195109,lunar_third_body_caution
11.9,hohmann_only,B/R=1.5,17.85,1.5,0.5340367096558453,0.5384632260312504,-0.004426516375405143,-34.19820597206536,0.5148606876118222,2.712601754689322,5.268613083029714,2.1977410670774993,119204.73295500001,112826.59665500002,0.31010596502341314,lunar_third_body_caution
11.9,hohmann_only,B/R=2,23.8,2.0,0.5340367096558453,0.5394083386227286,-0.005371628966883368,-41.49991962882475,0.5148606876118222,3.74272903724145,7.269401465864625,3.227868349629628,158939.64394,152561.50764,0.4134746200312175,lunar_third_body_caution
