case,R,region,dv_hohmann_km_s,dv_infimum_km_s,math_saving_m_s,representative_B_over_R,finite_B_saving_m_s,time_ratio,model_validity
GEO,6.313737561780522,A,3.892554659513011,4.473683310143502,0.0,2.0,-316.96323801509345,6.711155453334506,caution
R=10,10.0,A,4.093011556011077,4.212080000909774,0.0,2.0,-99.13569183214344,7.141730834401095,caution
R=12,12.0,B,4.126945829354923,4.123908416339458,3.037413015464629,2.0,-39.01982237568278,7.275106419723198,caution
R=13,13.0,B,4.135537107149585,4.0876669990803505,47.87010806923439,2.0,-16.562043993382012,7.327750353692728,caution
R=15,15.0,B,4.142693389714117,4.026380933072568,116.3124566415494,2.0,18.23810374585411,7.413591753284409,caution
R=16,16.0,C,4.14285716020475,4.000143544358159,142.71361584659067,2.0,31.86762709478339,7.449044051604879,caution
R=20,20.0,C,4.131206496314714,3.9156822662818707,215.52423003284358,2.0,70.31019200501409,7.557468443328346,caution
R=50,50.0,C,3.968691089120063,3.652679415636167,316.0116734838962,2.0,131.68622339802468,7.831010756349545,INVALID
