R,B_crit,B_crit_over_R,rb_km,rb_altitude_km,rb_over_lunar_distance,time_ratio_at_break_even,model_validity_flag
11.938801902178554,1368017.0368654896,114585.78909964644,9135804232.909864,9135797854.773565,23766.400189671866,68758950.58623819,two_body_invalid
11.9388057038857,1238744.5440933674,103757.82761002598,8272504906.336867,8272498528.200567,21520.564272468437,59246778.77823105,two_body_invalid
11.938809902330773,1121687.8355481166,93953.06942018846,7490784251.842308,7490777873.706008,19486.95174776875,51050531.69386324,two_body_invalid
11.938814538916484,1015692.5630476568,85074.8254558142,6782933374.928596,6782926996.792295,17645.508259439634,43988162.62654683,two_body_invalid
11.938819659366239,919713.4628462854,77035.54363724325,6141971861.83248,6141965483.69618,15978.07456251946,37902809.617069855,two_body_invalid
11.938825314175043,832804.0416667085,69755.94497374169,5561578901.441159,5561572523.304859,14468.207339857334,32659310.98417261,two_body_invalid
11.938831559107449,754107.246817181,63164.242085475766,5036030979.062876,5036024600.926576,13101.017115147959,28141203.51797266,two_body_invalid
11.93883845574748,682847.0159782176,57195.43140727296,4560145444.750815,4560139066.614515,11863.021448363203,24248135.78931807,two_body_invalid
11.93884607210593,618320.6200093662,51790.65181634415,4129229377.5230546,4129222999.3867545,10742.01190822855,20893639.006739225,two_body_invalid
11.938854483291056,559891.7359054668,46896.60441787439,3739033325.6203117,3739026947.4840117,9726.933729501332,18003206.62326171,two_body_invalid
11.938863772249249,506984.1705611407,42465.02684280367,3385709392.949745,3385703014.813445,8807.77677666427,15512639.406155895,two_body_invalid
11.938874030583005,459076.17954137793,38452.21738376614,3065773299.0605936,3065766920.9242935,7975.476844590514,13366619.549009316,two_body_invalid
11.93888535945426,415695.3209750571,34818.603953330785,2776070012.74368,2776063634.60738,7221.826255836837,11517481.961844346,two_body_invalid
11.938897870581988,376413.7971576314,31528.353893128853,2513742642.619215,2513736264.482915,6539.392930851236,9924155.608351758,two_body_invalid
11.938911687343916,340844.235757854,28549.020604547466,2276204263.460283,2276197885.3239827,5921.447095370143,8551251.272052305,two_body_invalid
11.9389269459932,308635.8697402701,25851.223576156546,2061112405.194569,2061106027.058269,5361.894914658088,7368275.524885218,two_body_invalid
11.938943797002086,279471.07814011414,23408.35863640554,1866345951.7276328,1866339573.5913327,4855.21839679405,6348953.43218262,two_body_invalid
11.93896240654577,253062.25425432943,21196.335630940852,1689984226.2956667,1689977848.1593666,4396.420984119841,5470644.974057546,two_body_invalid
11.938982958141137,229148.969051843,19193.340827711574,1530288048.3326895,1530281670.1963894,3980.978273498152,4713842.174364178,two_body_invalid
11.939005654456496,207495.4030495677,17379.621808966604,1385682583.188449,1385676205.0521488,3604.7934005943,4061735.812560904,two_body_invalid
11.939030719310182,187888.02103996577,15737.292704681275,1254741813.6421592,1254735435.5058591,3264.1566431898004,3499842.081473682,two_body_invalid
11.939058399877723,170133.46592512977,14250.157778512268,1136174474.6394222,1136168096.503122,2955.708831007862,3015680.875464861,two_body_invalid
11.939088969129358,154056.65228964452,12903.551744022132,1028811321.9119532,1028804943.7756532,2676.4082255774015,2598498.6052722773,two_body_invalid
