R,regime,dv_hohmann_bar,dv_bielliptic_infinite_bar,dv_best_bar,best_endpoint,saving_bar,saving_m_s,best_endpoint_attainable
1.01,hohmann_only,0.004962779080076848,0.8263714616236899,0.004962779080076848,B->R+,0.0,0.0,yes
1.0177779966724756,hohmann_only,0.00877203566312157,0.824793558086488,0.00877203566312157,B->R+,0.0,0.0,yes
1.025615891594691,hohmann_only,0.012566515696682243,0.8232216953884336,0.012566515696682243,B->R+,0.0,0.0,yes
1.0335141460422765,hohmann_only,0.016346192196101617,0.821655850402804,0.016346192196101617,B->R+,0.0,0.0,yes
1.041473224843141,hohmann_only,0.020111038627339588,0.8200960000914145,0.020111038627339588,B->R+,0.0,0.0,yes
1.0494935964048266,hohmann_only,0.023861028912158827,0.81854212150428,0.023861028912158827,B->R+,0.0,0.0,yes
1.0575757327420754,hohmann_only,0.027596137433225056,0.8169941917792769,0.027596137433225056,B->R+,0.0,0.0,yes
1.0657201095046087,hohmann_only,0.031316339039121024,0.815452188141807,0.031316339039121024,B->R+,0.0,0.0,yes
1.0739272060051208,hohmann_only,0.03502160904927326,0.813916087904462,0.03502160904927326,B->R+,0.0,0.0,yes
1.082197505247486,hohmann_only,0.038711923258789444,0.8123858684666903,0.038711923258789444,B->R+,0.0,0.0,yes
1.0905314939551853,hohmann_only,0.04238725794320762,0.8108615073144637,0.04238725794320762,B->R+,0.0,0.0,yes
1.098929662599951,hohmann_only,0.04604758986315402,0.8093429820199473,0.04604758986315402,B->R+,0.0,0.0,yes
1.1073925054306313,hohmann_only,0.049692896268910464,0.807830270241168,0.049692896268910464,B->R+,0.0,0.0,yes
1.1159205205022786,hohmann_only,0.0533231549048894,0.8063233497216874,0.0533231549048894,B->R+,0.0,0.0,yes
1.1245142097054608,hohmann_only,0.05693834401401599,0.8048221982902729,0.05693834401401599,B->R+,0.0,0.0,yes
1.133174078795798,hohmann_only,0.060538442342016746,0.8033267938605727,0.060538442342016746,B->R+,0.0,0.0,yes
1.141900637423728,hohmann_only,0.06412342914161347,0.8018371144307899,0.06412342914161347,B->R+,0.0,0.0,yes
1.1506943991644998,hohmann_only,0.06769328417662225,0.8003531380833593,0.06769328417662225,B->R+,0.0,0.0,yes
1.1595558815483986,hohmann_only,0.07124798772595625,0.7988748429846249,0.07124798772595625,B->R+,0.0,0.0,yes
1.1684856060912034,hohmann_only,0.07478752058753196,0.7974022073845184,0.07478752058753196,B->R+,0.0,0.0,yes
1.1774840983248795,hohmann_only,0.0783118640820784,0.7959352096162396,0.0783118640820784,B->R+,0.0,0.0,yes
1.186551887828507,hohmann_only,0.08182100005684814,0.7944738280959374,0.08182100005684814,B->R+,0.0,0.0,yes
1.1956895082594474,hohmann_only,0.08531491088922971,0.7930180413223916,0.08531491088922971,B->R+,0.0,0.0,yes
1.2048974973847504,hohmann_only,0.08879357949026132,0.7915678278766981,0.08879357949026132,B->R+,0.0,0.0,yes
1.2141763971128026,hohmann_only,0.09225698930804441,0.7901231664219525,0.09225698930804441,B->R+,0.0,0.0,yes
1.2235267535252201,hohmann_only,0.09570512433105766,0.788684035702936,0.09570512433105766,B->R+,0.0,0.0,yes
1.2329491169089866,hohmann_only,0.09913796909136985,0.7872504145458038,0.09913796909136985,B->R+,0.0,0.0,yes
1.2424440417888378,hohmann_only,0.10255550866775168,0.7858222818577728,0.10255550866775168,B->R+,0.0,0.0,yes
