case,R,regime,r2_km,r2_altitude_km,dv_hohmann_km_s,dv_infinite_infimum_km_s,infimum_saving_m_s,dv_representative_B5R_km_s,representative_B5R_saving_m_s,representative_rb_km,representative_rb_over_lunar_distance,representative_model_validity_flag,t_hohmann_days,t_representative_B5R_days,time_ratio_B5R,B_crit,t_at_break_even_days,time_ratio_at_break_even
GEO,6.313737561780522,hohmann_only,42164.0,35785.8637,3.892554659513011,4.473683310143502,0.0,4.378913768272946,-486.35910875993505,210819.99999999997,0.5484391259105098,lunar_third_body_caution,0.21979318668840483,4.656373292345211,21.185248562533612,,,
R=10,10.0,hohmann_only,66781.363,60403.2267,4.093011556011077,4.212080000909774,0.0,4.217837801956726,-124.82624594564932,333906.815,0.8686441597294485,lunar_third_body_caution,0.405409755138401,9.211798443144103,22.722192365596456,,,
R=12,12.0,large_B_bielliptic,80137.63560000001,73759.49930000001,4.126945829354923,4.123908416339458,3.037413015464629,4.154419455252404,-27.473625897481224,400688.178,1.0423729916753381,two_body_invalid,0.5208590270797074,12.083165172082898,23.198532700545485,815.8202504753092,524.0876503171905,1006.1986508241682
R=13,13.0,large_B_bielliptic,86815.7719,80437.63560000001,4.135537107149585,4.0876669990803505,47.87010806923439,4.12699379734554,8.543309804044547,434078.8595,1.1292374076482832,two_body_invalid,0.5820994922178572,13.613315286621132,23.386578185720523,48.90484332838889,9.330019793895683,16.02822183944428
R=15,15.0,large_B_bielliptic,100172.0445,93793.9082,4.142693389714117,4.026380933072568,116.3124566415494,4.078800737375275,63.89265233884228,500860.22250000003,1.3029662395941728,two_body_invalid,0.7111891803736509,16.85037868811658,23.693243869744446,18.19028151222189,3.058989918836786,4.301232362997461
R=16,16.0,all_bielliptic,106850.1808,100472.0445,4.14285716020475,4.000143544358159,142.71361584659067,4.0574679951589046,85.38916504584549,534250.904,1.3898306555671176,two_body_invalid,0.7788943418454565,18.553192872715414,23.819909679606614,,,
R=20,20.0,all_bielliptic,133562.726,127184.5897,4.131206496314714,3.9156822662818707,215.52423003284358,3.9859246632756475,145.28183303906647,667813.63,1.737288319458897,two_body_invalid,1.0693850516002033,25.886970305879277,24.207342591092527,,,
R=50,50.0,all_bielliptic,333906.815,327528.6787,3.968691089120063,3.652679415636167,316.0116734838962,3.7347538684603596,233.93722065970343,1669534.075,4.343220798647242,two_body_invalid,4.047253721412756,101.9305256671305,25.18510888700847,,,
